STATE,CLASS,GENDER,AGE,PAID
STATE 15,C6 ,F,79,891.44
STATE 15,C6 ,F,79,853.46
STATE 15,C1B,M,79,830.26
STATE 02,C11,F,79,821.48
STATE 02,C6 ,M,79,821
STATE 12,C6 ,M,79,818.79
STATE 17,C11,F,79,796.55
STATE 15,C11,F,79,779.25
STATE 06,C6 ,M,79,773.72
STATE 04,C11,F,79,705.2
STATE 06,C11,F,79,659
STATE 02,C11,M,79,658.98
STATE 15,C6 ,M,79,651.57
STATE 01,F6 ,M,79,646.79
STATE 03,C11,F,79,616.53
STATE 15,C6 ,M,79,603.09
STATE 15,C6 ,M,79,600.83
STATE 03,C11,F,79,586.25
STATE 17,C6 ,F,79,584.61
STATE 12,C6 ,M,79,557.96
STATE 15,F6 ,M,79,525
STATE 02,C6 ,M,79,485.9
STATE 04,C11,M,79,481
STATE 15,C6 ,M,79,466.8
STATE 02,C11,M,79,457.64
STATE 07,C11,F,79,450.11
STATE 15,C6 ,F,79,437.03
STATE 02,C11,M,79,417.04
STATE 15,C6 ,M,79,403.97
STATE 15,C6 ,F,79,399.9
STATE 15,C11,F,79,395.01
STATE 15,C6 ,F,79,371.63
STATE 15,C11,F,79,365.5
STATE 02,C6 ,M,79,363.93
STATE 15,C6 ,M,79,355
STATE 10,C11,F,79,319.48
STATE 15,C6 ,M,79,317.5
STATE 03,C11,F,79,302.45
STATE 15,C6 ,M,79,300
STATE 02,C6 ,M,79,299.63
STATE 15,C1 ,M,79,297.28
STATE 14,C6 ,M,79,295.27
STATE 15,C6 ,M,79,280.05
STATE 03,C11,M,79,275.43
STATE 15,C11,M,79,233.42
STATE 06,C6 ,F,79,218.48
STATE 01,C6 ,M,79,196.81
STATE 15,C6 ,M,79,146.56
STATE 15,C6 ,M,79,115.61
STATE 15,C11,F,79,100
STATE 13,C11,M,79,94.5
STATE 15,C6 ,M,79,50
STATE 02,C11,F,79,37.9
STATE 03,C11,F,78,21986.1
STATE 15,C6 ,F,78,15128.09
STATE 15,C6 ,F,78,14651.31
STATE 15,C11,M,78,13068.69
STATE 03,C11,M,78,10661.97
STATE 02,C11,M,78,6754.81
STATE 15,C11,M,78,6308.16
STATE 12,C1 ,M,78,5071.99
STATE 15,C1 ,F,78,4911.64
STATE 15,C6 ,F,78,4894.66
STATE 10,C1 ,M,78,4869.12
STATE 15,C11,M,78,4809.52
STATE 12,C6 ,M,78,4602.83
STATE 06,C6 ,M,78,4502.15
STATE 06,C1 ,M,78,4335.74
STATE 07,C6 ,F,78,4114.24
STATE 04,C6 ,M,78,4033.65
STATE 06,C6 ,M,78,3611.65
STATE 15,C11,F,78,3604.81
STATE 17,C6 ,M,78,3404.67
STATE 15,C11,M,78,3057.71
STATE 03,F6 ,F,78,3045.7
STATE 04,F6 ,M,78,2983.13
STATE 17,C11,F,78,2884.46
STATE 15,C1 ,F,78,2805.09
STATE 02,C6 ,F,78,2742.24
STATE 15,C6 ,F,78,2591.33
STATE 07,C6 ,M,78,2536.93
STATE 15,C6 ,M,78,2529.89
STATE 15,C6 ,F,78,2497.72
STATE 15,C11,M,78,2473.5
STATE 15,C11,M,78,2419.75
STATE 15,C1 ,M,78,2382.7
STATE 02,C11,M,78,2272.12
STATE 15,C6 ,M,78,2266.97
STATE 07,C11,F,78,2189.59
STATE 15,F6 ,F,78,2008.04
STATE 02,F6 ,M,78,1917.5
STATE 17,C6 ,F,78,1897.25
STATE 15,C6 ,F,78,1858.52
STATE 06,C11,F,78,1830.94
STATE 03,C6 ,M,78,1800.65
STATE 15,C6 ,M,78,1712.42
STATE 17,C6 ,M,78,1672.67
STATE 06,C11,M,78,1658.12
STATE 15,C11,M,78,1625.13
STATE 14,F11,M,78,1597.37
STATE 15,C6 ,F,78,1502.91
STATE 06,C6 ,M,78,1465.08
STATE 04,C11,M,78,1389.18
STATE 07,C11,F,78,1356.31
STATE 10,C11,M,78,1347.74
STATE 14,C6 ,M,78,1321.88
STATE 01,F6 ,M,78,1321.7
STATE 04,C11,M,78,1308
STATE 12,C6 ,M,78,1307.37
STATE 17,C11,M,78,1305
STATE 02,C11,F,78,1303.88
STATE 15,C1 ,M,78,1294.47
STATE 17,C6 ,F,78,1290.15
STATE 15,C6 ,F,78,1281.3
STATE 06,C6 ,M,78,1277.87
STATE 04,C11,M,78,1233.72
STATE 02,C6 ,F,78,1135
STATE 15,C11,F,78,1109.37
STATE 12,C6 ,F,78,1077.95
STATE 17,C11,F,78,1072.58
STATE 15,C6 ,M,78,1070.04
STATE 17,C11,M,78,1002.7
STATE 15,C6 ,M,78,981.86
STATE 15,C6 ,M,78,980.83
STATE 04,C11,M,78,958.41
STATE 04,C11,M,78,954.54
STATE 15,C6 ,M,78,929.82
STATE 12,C6 ,M,78,843.98
STATE 15,C11,M,78,817.62
STATE 15,C6 ,F,78,774.78
STATE 02,C6 ,F,78,766.39
STATE 17,C6 ,M,78,728.2
STATE 15,F6 ,F,78,712
STATE 02,C11,M,78,699.5
STATE 07,C6 ,F,78,695.16
STATE 15,C6 ,F,78,647.34
STATE 07,C6 ,F,78,640.23
STATE 17,C11,M,78,636.65
STATE 02,C11,F,78,634.48
STATE 03,C1 ,F,78,614.62
STATE 13,C6 ,F,78,603.23
STATE 17,C11,F,78,601.69
STATE 02,C1B,F,78,549.12
STATE 17,F6 ,M,78,532.49
STATE 12,C1 ,M,78,523
STATE 15,C6 ,F,78,500
STATE 02,C11,F,78,485.1
STATE 01,C6 ,M,78,484.76
STATE 04,C6 ,F,78,477.84
STATE 15,C6 ,M,78,475
STATE 15,C6 ,M,78,475
STATE 03,C6 ,F,78,471.52
STATE 15,C11,F,78,463.96
STATE 02,C11,M,78,462.93
STATE 04,C11,F,78,460.22
STATE 15,C6 ,F,78,446.74
STATE 15,C11,M,78,439.89
STATE 17,C6 ,F,78,430.38
STATE 02,C6 ,F,78,429.28
STATE 15,C6 ,F,78,388.71
STATE 10,F6 ,M,78,357.29
STATE 17,C6 ,F,78,353.7
STATE 14,F11,M,78,353.51
STATE 15,C11,M,78,338.47
STATE 02,F6 ,F,78,327.13
STATE 15,C6 ,M,78,316.93
STATE 02,C11,F,78,276.67
STATE 15,C6 ,M,78,224.7
STATE 02,C11,M,78,169.67
STATE 15,C6 ,F,78,150.5
STATE 15,C6 ,F,78,120.32
STATE 01,C6 ,M,78,114.13
STATE 13,C1 ,M,78,112.78
STATE 04,C11,M,78,108.69
STATE 17,C6 ,M,78,85
STATE 15,F6 ,M,78,52.4
STATE 02,C11,M,78,50
STATE 15,C1 ,M,77,12698.8
STATE 14,F6 ,M,77,12151.86
STATE 15,C6 ,M,77,10036.66
STATE 15,C6 ,M,77,6250.84
STATE 17,C11,M,77,6031.2
STATE 03,C11,M,77,5941.02
STATE 12,C6 ,F,77,5273.85
STATE 15,C11,F,77,5186.82
STATE 15,C6 ,F,77,4875.39
STATE 15,C6 ,M,77,4474
STATE 15,C6 ,M,77,4451.39
STATE 02,C6 ,M,77,4164.34
STATE 15,C11,M,77,4126.23
STATE 15,C6 ,M,77,3998.3
STATE 03,C11,F,77,3968.51
STATE 06,C6 ,M,77,3895.6
STATE 15,C11,M,77,3591.6
STATE 02,F6 ,F,77,3549.9
STATE 02,C6 ,F,77,3538.43
STATE 17,C1 ,M,77,3392.58
STATE 15,C6 ,M,77,3342.06
STATE 15,C6 ,M,77,3103.18
STATE 12,C6 ,M,77,2783.42
STATE 15,C11,M,77,2512.6
STATE 04,C11,M,77,2412.71
STATE 06,C6 ,M,77,2277.98
STATE 15,C6 ,M,77,2264.59
STATE 06,C1 ,M,77,2262.76
STATE 04,C11,F,77,2180.01
STATE 15,F6 ,M,77,2083.86
STATE 02,C6 ,M,77,1988.29
STATE 02,C11,F,77,1979.14
STATE 15,C6 ,F,77,1879.51
STATE 02,C6 ,F,77,1873.96
STATE 03,F6 ,F,77,1792.54
STATE 02,C1B,F,77,1745.82
STATE 02,C11,M,77,1654.87
STATE 04,F6 ,F,77,1607.6
STATE 13,F6 ,M,77,1543.36
STATE 17,C6 ,F,77,1536.05
STATE 15,C6 ,M,77,1475.44
STATE 15,C6 ,M,77,1436
STATE 02,C6 ,F,77,1424.44
STATE 02,C6 ,M,77,1403.26
STATE 01,F6 ,F,77,1395.58
STATE 01,C11,F,77,1342.83
STATE 15,C6 ,M,77,1285
STATE 15,C6 ,F,77,1278.57
STATE 02,C11,F,77,1238
STATE 14,C11,M,77,1208.67
STATE 04,C11,M,77,1206.5
STATE 02,C6 ,M,77,1180.56
STATE 07,C6 ,F,77,1130
STATE 15,C11,M,77,1081.71
STATE 02,F6 ,M,77,1074.87
STATE 03,C1 ,M,77,1033.84
STATE 02,C11,F,77,1013.81
STATE 15,C11,M,77,1013.34
STATE 12,C11,F,77,964.72
STATE 02,C1 ,M,77,950
STATE 17,C6 ,F,77,921.86
STATE 10,C6 ,F,77,886.31
STATE 12,C6 ,M,77,884
STATE 15,C6 ,M,77,877.43
STATE 15,C11,M,77,815.8
STATE 06,C6 ,M,77,797.07
STATE 15,C6 ,M,77,790.84
STATE 01,C6 ,F,77,782.38
STATE 07,C6 ,F,77,733
STATE 06,C1 ,M,77,692.12
STATE 15,C6 ,F,77,684.72
STATE 15,C6 ,F,77,671.59
STATE 02,C6 ,M,77,655
STATE 07,C6 ,M,77,638.17
STATE 15,C11,M,77,610
STATE 15,C6 ,F,77,601.29
STATE 15,C6 ,F,77,598.48
STATE 15,C11,M,77,560
STATE 15,C6 ,M,77,556.89
STATE 15,C11,M,77,543.62
STATE 02,C11,F,77,541.02
STATE 02,C11,M,77,522.31
STATE 15,F6 ,M,77,508.83
STATE 14,C6 ,M,77,498.9
STATE 15,C6 ,M,77,471.2
STATE 02,C11,M,77,464.58
STATE 02,C6 ,M,77,457.11
STATE 17,C6 ,F,77,446.94
STATE 04,C11,M,77,438.34
STATE 04,C11,F,77,435.98
STATE 01,C6 ,F,77,422.3
STATE 04,C6 ,M,77,420.31
STATE 15,C6 ,F,77,410.21
STATE 06,C1 ,F,77,394.82
STATE 15,C1 ,F,77,375
STATE 04,C11,F,77,361.37
STATE 02,C11,F,77,361.02
STATE 17,C6 ,M,77,350.95
STATE 17,C6 ,F,77,335.83
STATE 03,C11,M,77,298.36
STATE 04,C11,M,77,296.6
STATE 15,F6 ,F,77,280
STATE 02,C11,M,77,268.92
STATE 15,F6 ,F,77,264.6
STATE 02,C6 ,F,77,243.14
STATE 06,C6 ,F,77,202.04
STATE 02,C6 ,F,77,200
STATE 04,C6 ,M,77,171.7
STATE 06,C6 ,F,77,149.04
STATE 07,C6 ,M,77,134.04
STATE 14,F6 ,M,77,60
STATE 04,C2 ,M,77,40
STATE 15,C11,F,77,39.07
STATE 01,C6 ,M,77,26.42
STATE 15,C11,M,76,11624.51
STATE 15,C1 ,F,76,5778.48
STATE 02,C11,F,76,5107
STATE 02,F6 ,M,76,4537.4
STATE 06,C6 ,F,76,4314.82
STATE 15,C6 ,M,76,4156.17
STATE 15,C11,F,76,3907
STATE 02,C11,M,76,3759.64
STATE 14,F6 ,M,76,3758.66
STATE 15,C6 ,M,76,3685.6
STATE 15,C6 ,M,76,3680.74
STATE 14,C11,F,76,3633.92
STATE 07,C6 ,F,76,3454.22
STATE 13,C1 ,M,76,3203.35
STATE 15,C1B,M,76,3184.84
STATE 02,C6 ,M,76,3138.2
STATE 02,C1B,F,76,3094.47
STATE 02,C1 ,M,76,3060.69
STATE 15,C11,M,76,2879.38
STATE 15,C6 ,F,76,2773.29
STATE 15,C6 ,F,76,2329.88
STATE 15,C6 ,F,76,2227.87
STATE 15,C6 ,M,76,2171.93
STATE 15,C6 ,M,76,2137.81
STATE 02,C6 ,F,76,2112.41
STATE 02,C11,F,76,2095.09
STATE 15,C6 ,F,76,2084
STATE 15,C11,M,76,2017.45
STATE 15,F6 ,F,76,2000
STATE 15,C11,M,76,1915.77
STATE 02,C11,F,76,1836.79
STATE 02,C6 ,F,76,1759.52
STATE 15,C11,F,76,1727.85
STATE 06,C1 ,F,76,1700
STATE 06,C6 ,F,76,1644.11
STATE 10,C11,M,76,1606.83
STATE 01,C6 ,F,76,1550
STATE 13,F1 ,F,76,1539.82
STATE 15,C11,F,76,1470.35
STATE 14,C11,M,76,1447.24
STATE 17,C11,F,76,1367.93
STATE 15,C6 ,F,76,1354.81
STATE 15,C6 ,F,76,1344.7
STATE 02,C6 ,F,76,1321.42
STATE 15,C1 ,M,76,1271.55
STATE 02,C6 ,F,76,1252.25
STATE 15,C6 ,F,76,1250.04
STATE 04,C11,M,76,1232.67
STATE 17,C11,F,76,1229.01
STATE 01,C6 ,M,76,1194.26
STATE 15,C6 ,F,76,1160.56
STATE 01,F6 ,F,76,1145.85
STATE 15,C1 ,M,76,1145.34
STATE 10,C11,F,76,1138.5
STATE 15,C6 ,M,76,1093.31
STATE 06,C6 ,M,76,1063.48
STATE 15,C11,M,76,1048.43
STATE 02,C11,M,76,1046.07
STATE 04,C11,M,76,1040
STATE 12,C6 ,F,76,1011.24
STATE 13,C11,F,76,1010.94
STATE 17,C6 ,M,76,910.38
STATE 02,C6 ,M,76,897.27
STATE 04,C6 ,M,76,885.34
STATE 15,C1 ,F,76,862.83
STATE 15,C1 ,F,76,836.97
STATE 15,C6 ,F,76,809.6
STATE 04,C11,M,76,802.51
STATE 14,C11,M,76,781.14
STATE 15,C6 ,F,76,768.02
STATE 10,C11,F,76,759.55
STATE 15,C6 ,F,76,750
STATE 15,F11,M,76,744.2
STATE 07,C6 ,M,76,714.16
STATE 15,C6 ,F,76,713.52
STATE 15,C11,M,76,700
STATE 15,C6 ,F,76,698.14
STATE 07,C6 ,F,76,686.13
STATE 07,C6 ,F,76,675
STATE 03,C11,M,76,657.75
STATE 03,C6 ,M,76,652.98
STATE 15,C6 ,F,76,644.49
STATE 03,F6 ,M,76,617.89
STATE 15,C1B,F,76,604.45
STATE 12,C6 ,F,76,593.94
STATE 15,C1 ,M,76,585.79
STATE 15,C11,M,76,575.36
STATE 04,C11,M,76,569.33
STATE 10,F6 ,F,76,562.88
STATE 17,C6 ,M,76,562.32
STATE 15,F11,M,76,562.32
STATE 15,C1 ,M,76,555.34
STATE 02,C1 ,M,76,542.39
STATE 15,C6 ,M,76,533.11
STATE 15,C11,M,76,528.09
STATE 15,C6 ,M,76,497.62
STATE 14,C6 ,M,76,477
STATE 02,C11,F,76,459.1
STATE 15,C6 ,F,76,443.92
STATE 17,C6 ,F,76,438.42
STATE 06,C6 ,M,76,435.5
STATE 15,C6 ,M,76,426.21
STATE 02,F6 ,M,76,424.13
STATE 12,C6 ,M,76,387.3
STATE 04,C11,F,76,380.14
STATE 03,C11,F,76,375.85
STATE 02,C11,M,76,369.68
STATE 01,C1 ,F,76,366.8
STATE 15,C6 ,M,76,365.9
STATE 15,C1 ,F,76,365
STATE 06,C6 ,M,76,337.3
STATE 02,C6 ,F,76,335.92
STATE 01,C11,M,76,317.2
STATE 01,C6 ,F,76,279.52
STATE 01,C6 ,M,76,265.25
STATE 07,C11,F,76,253.75
STATE 15,C6 ,M,76,250
STATE 03,C1 ,F,76,242.1
STATE 15,C6 ,M,76,242.04
STATE 17,C11,M,76,223.77
STATE 03,F6 ,M,76,184.39
STATE 02,F6 ,F,76,176.57
STATE 02,F6 ,M,76,148.65
STATE 17,F6 ,M,76,142.29
STATE 15,C1 ,M,76,136.49
STATE 15,C6 ,F,76,127.32
STATE 15,C6 ,M,76,98.5
STATE 04,C6 ,F,75,9270.85
STATE 04,F6 ,M,75,6317.26
STATE 02,C6 ,F,75,5700.37
STATE 15,C6 ,M,75,5340.71
STATE 15,C6 ,F,75,4880.68
STATE 06,C11,F,75,4408.88
STATE 15,F6 ,F,75,4222.4
STATE 06,C6 ,M,75,4184.46
STATE 02,C6 ,F,75,4082.49
STATE 15,C6 ,F,75,4061.29
STATE 02,C1 ,M,75,3877.24
STATE 02,C6 ,F,75,3748.89
STATE 02,F6 ,M,75,3744.25
STATE 03,C6 ,F,75,3502.5
STATE 15,C6 ,M,75,3144.21
STATE 01,C6 ,M,75,3099.64
STATE 15,C6 ,F,75,2973.95
STATE 15,C6 ,M,75,2950.93
STATE 04,C11,M,75,2936.81
STATE 15,C11,F,75,2922.24
STATE 02,C1 ,F,75,2808.92
STATE 02,C6 ,F,75,2631.23
STATE 04,C6 ,M,75,2612.16
STATE 04,C6 ,F,75,2589.13
STATE 01,F6 ,M,75,2532.61
STATE 07,C6 ,M,75,2450.64
STATE 02,C6 ,M,75,2310.7
STATE 15,C6 ,F,75,2294.04
STATE 02,C6 ,F,75,2200
STATE 02,C6 ,F,75,2172
STATE 15,C1 ,M,75,2154.02
STATE 15,C11,M,75,2126.38
STATE 04,C11,M,75,2049.36
STATE 02,C6 ,M,75,1941
STATE 17,C6 ,F,75,1846.1
STATE 07,C6 ,M,75,1807.01
STATE 15,C6 ,M,75,1688.78
STATE 15,C6 ,F,75,1661.77
STATE 15,C6 ,F,75,1655.12
STATE 15,C6 ,F,75,1622.86
STATE 15,C6 ,M,75,1531.05
STATE 12,C6 ,M,75,1530.85
STATE 02,F6 ,F,75,1503.97
STATE 15,C6 ,M,75,1491.06
STATE 01,C6 ,M,75,1439.9
STATE 15,C6 ,M,75,1421.18
STATE 03,C6 ,F,75,1298.34
STATE 02,C6 ,M,75,1270.9
STATE 15,C6 ,M,75,1253.3
STATE 14,C6 ,M,75,1225.7
STATE 07,C11,M,75,1201.93
STATE 15,C1B,F,75,1196.69
STATE 15,C6 ,M,75,1178.9
STATE 07,C6 ,F,75,1155.36
STATE 17,C6 ,M,75,1132.08
STATE 15,C1B,M,75,1126.5
STATE 04,C6 ,M,75,1118.91
STATE 15,C6 ,M,75,1053.29
STATE 06,C1 ,F,75,1042.1
STATE 06,C6 ,M,75,994.41
STATE 17,C6 ,M,75,980.44
STATE 15,C11,M,75,918.29
STATE 15,C6 ,M,75,911.34
STATE 15,F6 ,M,75,905.62
STATE 15,F11,M,75,887.51
STATE 04,C7 ,M,75,876.39
STATE 02,C11,F,75,871.18
STATE 15,C6 ,M,75,843.91
STATE 12,C11,F,75,818.01
STATE 15,C6 ,F,75,815
STATE 15,C6 ,F,75,762.72
STATE 15,C6 ,F,75,755.9
STATE 10,C6 ,M,75,749.64
STATE 15,C6 ,F,75,741.49
STATE 02,C11,F,75,735.27
STATE 15,C6 ,M,75,726.19
STATE 17,C1 ,M,75,725.71
STATE 03,C6 ,M,75,722.02
STATE 15,C11,M,75,716.96
STATE 15,C11,M,75,714.05
STATE 04,C6 ,F,75,710.94
STATE 01,C6 ,F,75,708.22
STATE 04,C6 ,M,75,694.8
STATE 10,C11,F,75,684.29
STATE 15,C11,F,75,672.53
STATE 15,C11,M,75,648.06
STATE 15,C11,M,75,648.06
STATE 03,C11,M,75,628.74
STATE 15,C6 ,F,75,625.1
STATE 15,C6 ,M,75,615.44
STATE 04,F6 ,M,75,601.29
STATE 15,C2 ,M,75,593.46
STATE 03,C11,M,75,581.34
STATE 06,C6 ,M,75,575.93
STATE 04,F6 ,M,75,554.27
STATE 02,C11,F,75,552.07
STATE 17,F6 ,M,75,550.2
STATE 02,C1 ,M,75,538.08
STATE 15,C11,M,75,529.18
STATE 15,C11,F,75,516.81
STATE 15,C6 ,F,75,513.42
STATE 15,C6 ,M,75,481.31
STATE 15,C1 ,M,75,476.64
STATE 15,C6 ,F,75,475.84
STATE 02,C11,M,75,449.24
STATE 02,C11,F,75,436.66
STATE 02,C1B,M,75,393.64
STATE 06,C6 ,F,75,383.88
STATE 01,C7 ,F,75,365.23
STATE 15,C6 ,M,75,364.53
STATE 06,C6 ,M,75,355.59
STATE 02,C11,M,75,329.17
STATE 15,C6 ,F,75,328.79
STATE 15,C6 ,M,75,320.41
STATE 15,C11,M,75,312.7
STATE 04,C6 ,M,75,305.85
STATE 03,C6 ,M,75,302.54
STATE 02,C6 ,M,75,300
STATE 15,C6 ,F,75,278.6
STATE 02,C11,M,75,278.55
STATE 03,C71,M,75,256.32
STATE 02,C11,M,75,250.35
STATE 03,C11,M,75,248.68
STATE 15,C6 ,M,75,244.7
STATE 15,C6 ,M,75,243.44
STATE 10,F1 ,M,75,240.9
STATE 03,C6 ,F,75,236.2
STATE 06,C6 ,F,75,235.92
STATE 06,C6 ,F,75,222.53
STATE 12,C6 ,F,75,216.14
STATE 10,C6 ,M,75,200.39
STATE 04,C6 ,F,75,192.87
STATE 07,C11,M,75,152.71
STATE 06,C1 ,F,75,131
STATE 15,C6 ,M,75,84.08
STATE 02,F6 ,F,75,49.95
STATE 15,C11,F,75,28.46
STATE 02,C11,M,74,15096.47
STATE 03,C11,F,74,13058.85
STATE 06,C6 ,F,74,9366.59
STATE 15,F6 ,M,74,7777.69
STATE 03,C6 ,M,74,6950.54
STATE 02,F6 ,F,74,6297.15
STATE 02,F6 ,M,74,6233.63
STATE 02,C11,F,74,6129.28
STATE 02,C6 ,F,74,5844.67
STATE 15,C6 ,M,74,5816.51
STATE 15,C6 ,F,74,5519.14
STATE 04,C6 ,M,74,5203.42
STATE 15,C6 ,F,74,5169.76
STATE 12,C7B,M,74,5145.57
STATE 02,C6 ,M,74,4578.06
STATE 01,F11,M,74,4489.12
STATE 17,C6 ,F,74,4317.72
STATE 17,C11,M,74,4316.14
STATE 15,C11,M,74,4063.07
STATE 15,C6 ,F,74,4023.74
STATE 17,C6 ,M,74,3990
STATE 02,C6 ,F,74,3959.08
STATE 04,C6 ,F,74,3274.13
STATE 04,C1 ,M,74,2930
STATE 04,C6 ,F,74,2805.41
STATE 12,C11,M,74,2779.44
STATE 02,C11,M,74,2437.85
STATE 15,C1B,F,74,2380.84
STATE 06,C6 ,F,74,2353.86
STATE 10,C6 ,F,74,2342.02
STATE 02,C11,M,74,2257.08
STATE 15,C6 ,F,74,2224.66
STATE 15,C11,F,74,2143.11
STATE 04,C11,F,74,2112.46
STATE 15,F6 ,F,74,2103.54
STATE 15,C6 ,M,74,2100
STATE 06,C6 ,M,74,2069.15
STATE 15,C6 ,M,74,2000
STATE 15,C11,F,74,1904.4
STATE 02,F6 ,F,74,1901.28
STATE 15,C6 ,F,74,1806.66
STATE 04,C11,F,74,1723.11
STATE 17,C6 ,M,74,1694.26
STATE 17,C6 ,M,74,1689.06
STATE 03,C11,M,74,1599.08
STATE 02,C6 ,F,74,1537.38
STATE 15,F6 ,M,74,1536.55
STATE 06,C6 ,M,74,1505
STATE 15,C6 ,F,74,1500
STATE 02,F6 ,M,74,1448.67
STATE 10,C6 ,M,74,1386.41
STATE 15,C6 ,M,74,1371.85
STATE 12,C11,M,74,1276.36
STATE 15,C11,M,74,1270.17
STATE 17,F6 ,M,74,1264.44
STATE 02,C6 ,F,74,1249.17
STATE 15,C11,F,74,1235.67
STATE 02,F6 ,F,74,1224.79
STATE 06,C6 ,M,74,1203.81
STATE 07,C11,M,74,1187.42
STATE 02,C71,F,74,1173.79
STATE 17,C2 ,M,74,1168.37
STATE 03,C1 ,M,74,1113.74
STATE 10,C6 ,F,74,1103.23
STATE 15,C11,M,74,1100
STATE 15,C6 ,M,74,1043.4
STATE 01,C6 ,F,74,1035.13
STATE 04,C6 ,F,74,1027.16
STATE 02,C6 ,M,74,1021.64
STATE 15,C6 ,F,74,1011.23
STATE 15,C6 ,M,74,993.59
STATE 15,C11,F,74,913.58
STATE 02,C1 ,M,74,907.45
STATE 02,C6 ,F,74,904.5
STATE 15,F6 ,F,74,903
STATE 14,C6 ,M,74,900
STATE 15,C1 ,F,74,864.04
STATE 15,C11,F,74,820.03
STATE 14,F11,M,74,805.37
STATE 17,C6 ,F,74,796.37
STATE 15,C6 ,M,74,787.03
STATE 07,C6 ,F,74,773.42
STATE 06,C6 ,F,74,756.68
STATE 15,C6 ,M,74,756.47
STATE 15,C6 ,F,74,754.95
STATE 07,C11,M,74,737.92
STATE 04,C11,F,74,730.41
STATE 02,F6 ,F,74,723.51
STATE 17,C6 ,F,74,704.92
STATE 17,C6 ,M,74,700
STATE 17,F6 ,M,74,667.91
STATE 03,C6 ,M,74,644.9
STATE 15,C6 ,F,74,605.8
STATE 15,F7 ,M,74,600
STATE 12,C6 ,F,74,596.1
STATE 06,C6 ,M,74,590.58
STATE 15,C6 ,M,74,583.76
STATE 15,C11,M,74,580.32
STATE 15,C11,M,74,579.63
STATE 17,C11,M,74,569.38
STATE 07,C6 ,F,74,559.85
STATE 04,C6 ,F,74,544.85
STATE 13,C11,F,74,534.47
STATE 02,C1A,M,74,520.43
STATE 02,C6 ,F,74,500
STATE 04,C6 ,F,74,495
STATE 15,C11,M,74,474.16
STATE 04,C11,M,74,449.12
STATE 14,C1 ,M,74,426.54
STATE 06,C1B,M,74,416.3
STATE 15,C7 ,M,74,406.35
STATE 07,C6 ,F,74,392
STATE 15,C6 ,M,74,376.46
STATE 15,C11,F,74,321.06
STATE 15,C11,M,74,282.03
STATE 15,C6 ,F,74,275.94
STATE 10,C6 ,M,74,265.08
STATE 06,C6 ,F,74,253.55
STATE 15,C6 ,M,74,248.3
STATE 02,C1B,M,74,229.13
STATE 13,C11,M,74,211.87
STATE 02,C6 ,F,74,206.03
STATE 14,C6 ,M,74,196.09
STATE 14,C6 ,F,74,192.03
STATE 14,C7 ,M,74,170.97
STATE 04,C11,M,74,165.31
STATE 03,C11,F,74,91.27
STATE 15,C6 ,F,74,71.86
STATE 10,C11,M,74,50
STATE 15,C6 ,M,73,12261.67
STATE 12,C6 ,F,73,8867.37
STATE 17,C6 ,M,73,8787.5
STATE 15,C6 ,M,73,7205.79
STATE 15,C11,F,73,6441.62
STATE 10,C1 ,F,73,6013.74
STATE 12,C11,F,73,5819.71
STATE 03,C11,F,73,4903.68
STATE 15,C1B,F,73,4804.22
STATE 06,C6 ,F,73,4791.88
STATE 10,C6 ,M,73,4634.09
STATE 02,C11,M,73,4587.39
STATE 01,F6 ,M,73,4229.61
STATE 04,C6 ,M,73,4147.09
STATE 01,F6 ,M,73,3887.19
STATE 15,F6 ,M,73,3700
STATE 02,C11,M,73,3394.17
STATE 06,C1 ,M,73,3179.28
STATE 12,C11,M,73,3171.66
STATE 15,C6 ,M,73,3000
STATE 17,C6 ,F,73,2893.53
STATE 02,C11,F,73,2690.8
STATE 15,C6 ,M,73,2631.19
STATE 15,C6 ,F,73,2627.61
STATE 02,C11,M,73,2593
STATE 17,C6 ,F,73,2503.09
STATE 01,C6 ,M,73,2477.47
STATE 06,C6 ,F,73,2403.63
STATE 15,C11,M,73,2393.73
STATE 17,F6 ,F,73,2391.88
STATE 10,C1 ,M,73,2366.44
STATE 06,C6 ,M,73,2282.76
STATE 02,F6 ,M,73,2270.25
STATE 15,C6 ,F,73,2249.34
STATE 14,F71,M,73,2163
STATE 15,C6 ,F,73,2143.02
STATE 07,C6 ,M,73,2040
STATE 15,C6 ,M,73,2026.3
STATE 15,C6 ,M,73,2014.6
STATE 02,C1 ,M,73,1916.21
STATE 06,C6 ,M,73,1911.22
STATE 13,C6 ,F,73,1901.01
STATE 07,C11,F,73,1896.72
STATE 17,C11,F,73,1773.94
STATE 06,C11,M,73,1683.05
STATE 15,C1 ,M,73,1673.91
STATE 06,C11,M,73,1622.95
STATE 15,C6 ,M,73,1591.4
STATE 10,C71,M,73,1525.52
STATE 17,C11,M,73,1477.61
STATE 15,C11,M,73,1451.83
STATE 04,C6 ,M,73,1411.83
STATE 13,C11,M,73,1405.19
STATE 02,C6 ,M,73,1396.28
STATE 15,C2 ,M,73,1382.61
STATE 15,C11,M,73,1327.69
STATE 15,C6 ,F,73,1308.73
STATE 10,C6 ,M,73,1211.21
STATE 15,C1 ,F,73,1209.08
STATE 10,C1 ,M,73,1170
STATE 04,C11,M,73,1133.56
STATE 03,C6 ,F,73,1120.14
STATE 02,C6 ,M,73,1108.5
STATE 15,F6 ,M,73,1105.04
